Date,Diffused radiation (W/m^2),Global radiation (W/m^2),Relative humidity (%),Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Rainfall (mm),day,month,year
2017-01-31,52.888888888888886,81.80555555555556,78.14583333333333,10.45,13.2,7.7,5.6,31,1,2017
2017-02-01,65.875,93.84722222222223,64.17361111111111,7.699999999999999,9.2,6.2,0.30000000000000004,1,2,2017
2017-02-02,22.819444444444443,165.8125,61.74305555555556,7.449999999999999,11.6,3.3,0.0,2,2,2017
2017-02-03,17.25,176.40972222222223,63.40972222222222,9.25,13.5,5.0,0.0,3,2,2017
2017-02-04,68.82638888888889,120.46527777777777,44.22222222222222,11.1,15.1,7.1,0.0,4,2,2017
2017-02-05,18.22222222222222,176.82638888888889,38.541666666666664,13.45,17.8,9.1,0.0,5,2,2017
2017-02-06,31.25,162.76388888888889,74.72916666666667,13.1,16.7,9.5,0.0,6,2,2017
2017-02-07,19.77777777777778,183.81944444444446,34.06944444444444,15.25,20.4,10.1,0.0,7,2,2017
2017-02-08,57.1875,114.60416666666667,35.05555555555556,14.95,17.7,12.2,0.0,8,2,2017
2017-02-09,46.22222222222222,121.70138888888889,68.44444444444444,13.45,17.4,9.5,0.0,9,2,2017
2017-02-10,34.548611111111114,176.13888888888889,64.45833333333333,14.55,18.6,10.5,0.0,10,2,2017
2017-02-11,41.923611111111114,169.99305555555554,57.40277777777778,14.5,17.7,11.3,15.3,11,2,2017
2017-02-12,61.270833333333336,110.85416666666667,81.21527777777777,11.05,14.6,7.5,3.4,12,2,2017
2017-02-13,74.21527777777777,129.77083333333334,78.99305555555556,10.9,13.3,8.5,7.9,13,2,2017
2017-02-14,65.75694444444444,81.09027777777777,86.38888888888889,9.649999999999999,12.7,6.6,13.7,14,2,2017
2017-02-15,64.28472222222223,134.56944444444446,77.20833333333333,9.35,12.5,6.2,12.1,15,2,2017
2017-02-16,55.84027777777778,88.57638888888889,70.70138888888889,8.25,10.5,6.0,1.9,16,2,2017
2017-02-17,57.38194444444444,153.03472222222223,49.298611111111114,8.6,12.0,5.2,0.0,17,2,2017
2017-02-18,28.40972222222222,206.30555555555554,56.13194444444444,10.0,14.5,5.5,0.0,18,2,2017
2017-02-19,0.2638888888888889,210.74305555555554,31.13888888888889,12.0,16.3,7.7,0.0,19,2,2017
2017-02-20,3.6319444444444446,211.33333333333334,34.8125,12.95,17.3,8.6,0.0,20,2,2017
2017-02-21,27.944444444444443,198.69444444444446,66.04861111111111,11.8,15.3,8.3,0.0,21,2,2017
2017-02-22,65.74305555555556,108.69444444444444,65.29166666666667,11.35,15.2,7.5,0.0,22,2,2017
2017-02-23,44.513888888888886,185.69444444444446,79.04861111111111,13.8,16.8,10.8,0.0,23,2,2017
2017-02-24,38.50694444444444,200.97222222222223,78.34722222222223,13.45,17.3,9.6,0.0,24,2,2017
2017-02-25,31.958333333333332,207.97916666666666,42.69444444444444,17.15,22.6,11.7,0.0,25,2,2017
2017-02-26,38.083333333333336,208.81944444444446,31.430555555555557,17.75,21.7,13.8,0.0,26,2,2017
2017-02-27,61.52777777777778,197.54166666666666,24.95138888888889,18.85,23.9,13.8,0.0,27,2,2017
2017-02-28,48.048611111111114,57.048611111111114,22.041666666666668,19.2,22.0,16.4,0.0,28,2,2017
2017-03-01,73.93055555555556,86.38194444444444,59.583333333333336,17.95,22.5,13.4,0.8999999999999999,1,3,2017
2017-03-02,72.17361111111111,144.47916666666666,84.04166666666667,15.15,17.8,12.5,8.3,2,3,2017
2017-03-03,72.73611111111111,133.59722222222223,80.88888888888889,13.75,15.9,11.6,1.5,3,3,2017
2017-03-04,42.479166666666664,204.125,74.25,13.3,16.5,10.1,0.0,4,3,2017
2017-03-05,25.52777777777778,232.54861111111111,76.38888888888889,13.55,16.6,10.5,0.0,5,3,2017
2017-03-06,27.5625,233.97222222222223,54.93055555555556,16.700000000000003,21.6,11.8,0.0,6,3,2017
2017-03-07,65.74305555555556,186.96527777777777,65.84027777777777,15.049999999999999,18.4,11.7,0.0,7,3,2017
2017-03-08,43.63194444444444,228.78472222222223,75.33333333333333,14.95,19.2,10.7,0.0,8,3,2017
2017-03-09,44.666666666666664,230.78472222222223,36.72222222222222,19.6,26.3,12.9,0.0,9,3,2017
2017-03-10,73.58333333333333,157.34722222222223,70.48611111111111,17.9,21.8,14.0,0.3,10,3,2017
2017-03-11,74.25,161.77777777777777,69.8125,15.100000000000001,17.3,12.9,0.0,11,3,2017
2017-03-12,71.89583333333333,116.34722222222223,56.986111111111114,17.1,21.6,12.6,15.0,12,3,2017
2017-03-13,70.75,156.84722222222223,76.5625,13.25,16.7,9.8,4.6,13,3,2017
2017-03-14,73.03472222222223,186.60416666666666,76.9375,14.25,16.6,11.9,0.5,14,3,2017
2017-03-15,90.55555555555556,148.28472222222223,79.22222222222223,13.350000000000001,16.8,9.9,9.7,15,3,2017
2017-03-16,86.36111111111111,176.04861111111111,75.46527777777777,13.1,16.4,9.8,0.8,16,3,2017
2017-03-17,92.53472222222223,125.49305555555556,68.88888888888889,13.35,16.5,10.2,0.0,17,3,2017
2017-03-18,78.01388888888889,118.14583333333333,74.44444444444444,14.549999999999999,16.4,12.7,0.0,18,3,2017
2017-03-19,90.67361111111111,183.71527777777777,68.30555555555556,13.65,16.0,11.3,0.0,19,3,2017
2017-03-20,78.49305555555556,155.75694444444446,73.49305555555556,13.9,16.8,11.0,0.0,20,3,2017
2017-03-21,102.38194444444444,174.9375,81.64583333333333,15.3,17.6,13.0,0.0,21,3,2017
2017-03-22,93.80555555555556,145.26388888888889,73.40972222222223,15.2,18.8,11.6,0.0,22,3,2017
2017-03-23,93.05594405594405,220.01398601398603,73.1048951048951,16.299999999999997,20.4,12.2,0.0,23,3,2017
2017-03-24,49.0,250.24305555555554,76.11805555555556,15.600000000000001,19.6,11.6,0.0,24,3,2017
2017-03-25,37.27777777777778,261.4166666666667,73.9375,15.9,19.8,12.0,0.0,25,3,2017
2017-03-26,31.708333333333332,239.13194444444446,77.875,15.45,20.3,10.6,0.0,26,3,2017
2017-03-27,106.50694444444444,204.50694444444446,71.26388888888889,14.75,18.5,11.0,0.0,27,3,2017
2017-03-28,89.88194444444444,231.61111111111111,78.81944444444444,14.799999999999999,18.4,11.2,0.0,28,3,2017
2017-03-29,51.229166666666664,261.0486111111111,70.47916666666667,16.05,20.7,11.4,0.0,29,3,2017
2017-03-30,81.27083333333333,126.63888888888889,50.40972222222222,20.9,26.0,15.8,0.0,30,3,2017
2017-03-31,48.81944444444444,266.13194444444446,67.54861111111111,17.4,22.3,12.5,0.0,31,3,2017
2017-04-01,87.40277777777777,185.77083333333334,66.86805555555556,16.25,19.6,12.9,3.9,1,4,2017
2017-04-02,85.67361111111111,193.91666666666666,80.4375,14.55,17.3,11.8,2.1,2,4,2017
2017-04-03,75.40972222222223,250.50694444444446,78.46527777777777,16.1,18.5,13.7,0.0,3,4,2017
2017-04-04,30.47222222222222,289.09722222222223,65.43055555555556,18.25,25.0,11.5,0.0,4,4,2017
2017-04-05,42.46527777777778,284.30555555555554,28.131944444444443,24.75,30.5,19.0,0.0,5,4,2017
2017-04-06,36.0,290.59722222222223,56.99305555555556,21.25,29.1,13.4,0.0,6,4,2017
2017-04-07,93.45138888888889,208.54166666666666,77.22222222222223,16.049999999999997,18.4,13.7,0.0,7,4,2017
2017-04-08,109.41666666666667,231.3125,76.33333333333333,15.4,18.6,12.2,0.0,8,4,2017
2017-04-09,107.71527777777777,150.97222222222223,76.47916666666667,15.149999999999999,17.7,12.6,0.0,9,4,2017
2017-04-10,82.08333333333333,266.50694444444446,63.31944444444444,14.6,18.2,11.0,0.0,10,4,2017
2017-04-11,88.68055555555556,257.88194444444446,58.34722222222222,16.9,20.6,13.2,0.0,11,4,2017
2017-04-12,71.55555555555556,91.48611111111111,29.041666666666668,21.85,26.4,17.3,2.0,12,4,2017
2017-04-13,95.89583333333333,198.88888888888889,68.77083333333333,22.1,28.1,16.1,2.0,13,4,2017
2017-04-14,85.88888888888889,128.27777777777777,83.33333333333333,16.450000000000003,18.1,14.8,1.6,14,4,2017
2017-04-15,85.38888888888889,236.71527777777777,82.38888888888889,16.5,19.0,14.0,0.0,15,4,2017
2017-04-16,69.08333333333333,276.7013888888889,83.47916666666667,16.6,20.1,13.1,0.0,16,4,2017
2017-04-17,48.74305555555556,298.53472222222223,78.36805555555556,15.600000000000001,19.3,11.9,0.0,17,4,2017
2017-04-18,46.72222222222222,305.84722222222223,59.63194444444444,17.7,23.4,12.0,0.0,18,4,2017
2017-04-19,34.958333333333336,317.05555555555554,73.39583333333333,17.75,22.3,13.2,0.0,19,4,2017
2017-04-20,47.798611111111114,284.03472222222223,67.27083333333333,17.7,22.5,12.9,0.0,20,4,2017
2017-04-21,83.47222222222223,287.69444444444446,27.01388888888889,24.5,32.9,16.1,0.0,21,4,2017
2017-04-22,71.04861111111111,293.5625,17.03472222222222,29.2,36.5,21.9,0.0,22,4,2017
2017-04-23,88.28472222222223,229.24305555555554,64.09722222222223,22.8,30.8,14.8,0.0,23,4,2017
2017-04-24,98.46527777777777,255.99305555555554,59.333333333333336,16.75,19.2,14.3,0.0,24,4,2017
2017-04-25,35.166666666666664,327.93055555555554,71.78472222222223,14.850000000000001,18.6,11.1,0.0,25,4,2017
2017-04-26,122.29166666666667,257.84027777777777,63.770833333333336,17.65,21.2,14.1,0.0,26,4,2017
2017-04-27,81.70833333333333,294.28472222222223,69.61805555555556,20.35,24.3,16.4,0.0,27,4,2017
2017-04-28,52.34722222222222,322.78472222222223,63.53472222222222,19.0,22.7,15.3,0.0,28,4,2017
2017-04-29,53.604166666666664,311.6388888888889,58.6875,18.95,24.3,13.6,0.0,29,4,2017
2017-04-30,106.38888888888889,262.44444444444446,51.3125,20.5,25.3,15.7,0.0,30,4,2017
2017-05-01,117.02777777777777,228.58333333333334,4.173611111111111,20.8,26.8,14.8,0.0,1,5,2017
2017-05-02,58.736111111111114,309.2291666666667,0.0,19.1,22.0,16.2,0.0,2,5,2017
2017-05-03,71.18055555555556,327.4513888888889,0.0,18.25,21.3,15.2,0.0,3,5,2017
2017-05-04,65.59027777777777,317.38194444444446,0.0,18.45,21.4,15.5,0.0,4,5,2017
2017-05-05,106.69444444444444,284.0416666666667,0.0,18.65,21.6,15.7,0.0,5,5,2017
